ชื่อยา,ข้อบ่งใช้,ระดับความเสี่ยง,หมายเหตุ,แหล่งอ้างอิงข้อมูล
Diphenhydramine,ใช้สำหรับแก้แพ้ลดน้ำมูก,ความเสี่ยงต่ำ,ข้อมูลการใช้ยา Diphenhydramineในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Diphenhydramine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Diphenhydramine. Available from: http://www.e-lactancia.org/producto/489.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Hydroxyzine,ใช้สำหรับแก้แพ้ลดน้ำมูก,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Hydroxyzineในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Hydroxyzine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Hydroxyzine. Available from: http://www.e-lactancia.org/producto/798.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Cetirizine,ใช้สำหรับแก้แพ้ลดน้ำมูก,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Cetirizineในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Cetirizine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Cetirizine. Available from: http://www.e-lactancia.org/producto/322.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Loratadine,ใช้สำหรับแก้แพ้ลดน้ำมูก,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Loratadineในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Loratadine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Loratadine. Available from: http://www.e-lactancia.org/producto/952.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Dextromethorphan,ใช้สำหรับแก้ไอ,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Dextromethorphan. Available from: http://www.e-lactancia.org/producto/467.
Acetylcysteine,ใช้สำหรับละลายเสมหะ ,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Acetylcysteineในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายาAcetylcysteine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Acetylcysteine. Available from: http://www.e-lactancia.org/producto/12.                                                            2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ambroxol,ใช้สำหรับละลายเสมหะ,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Ambroxol. Available from: http://www.e-lactancia.org/producto/72.
Bromhexine,ใช้สำหรับละลายเสมหะ,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Bromhexine. Available from: http://www.e-lactancia.org/producto/205.
Carbocisteine,ใช้สำหรับละลายเสมหะ,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Carbocisteine. Available from: http://www.e-lactancia.org/producto/265.
Guaifenesin,ใช้สำหรับละลายเสมหะ,ความเสี่ยงต่ำ,ข้อมูลการใช้ยา Guaifenesinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Guaifenesin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Guaifenesin. Available from: http://www.e-lactancia.org/producto/760.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Aluminium Hydroxide,ใช้สำหรับลดกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,,"1. Breastfeeding Association for Promotion and Cultural and Research of. Aluminium Hydroxide. Available from: http://www.e-lactancia.org/sinonimo/43.                                      2. Organization WH, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002."
Magnesium Hydroxide,ใช้สำหรับลดกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,,"1. Breastfeeding Association for Promotion and Cultural and Research of. Magnesium Hydroxide. Available from: http://www.e-lactancia.org/producto/972.                                     2. Organization WH, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002."
Domperidone,ใช้สำหรับบรรเทาอาการคลื่นไส้อาเจียน,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Domperidoneในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Domperidone มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Domperidone. Available from: htthttp://www.e-lactancia.org/producto/521.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Metoclopramide,ใช้สำหรับบรรเทาอาการคลื่นไส้อาเจียน,ความเสี่ยงต่ำมาก,ควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Metoclopamide เนื่องจากมีข้อมูลการใช้ยา Metoclopamide จำกัด และมีข้อมูลระบุว่าควรหลีกเลี่ยงการใช้ยานี้ในสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Metoclopramide. Available from: http://www.e-lactancia.org/producto/1032.                                                       2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                      3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Hyoscine Butylbromide,ใช้สำหรับบรรเทาอาการปวดเกร็งในช่องท้อง,ความเสี่ยงต่ำ,,Breastfeeding Association for Promotion and Cultural and Research of. Hyoscine Butylbromide. Available from: http://www.e-lactancia.org/sinonimo/432.
Omeprazole,ใช้สำหรับยับยั้งการหลั่งกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,ควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Omeprazole เนื่องจากมีข้อมูลการใช้ยา Omeprazole จำกัด และมีข้อมูลระบุว่าควรหลีกเลี่ยงการใช้ยานี้ในสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Omeprazole. Available from: http://www.e-lactancia.org/producto/1145.                                                       2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Pantoprazole,ใช้สำหรับยับยั้งการหลั่งกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Pantoprazoleในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Pantoprazole มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Pantoprazole. Available from: http://www.e-lactancia.org/producto/1175.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Esomeprazole,ใช้สำหรับยับยั้งการหลั่งกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,ควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Esomeprazole เนื่องจากมีข้อมูลการใช้ยา Esomeprazole จำกัด และมีข้อมูลระบุว่าควรหลีกเลี่ยงการใช้ยานี้ในสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Esomeprazole. Available from: http://www.e-lactancia.org/producto/585.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Lansoprazole,ใช้สำหรับยับยั้งการหลั่งกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,ควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Lansoprazole เนื่องจากมีข้อมูลการใช้ยา Lansoprazole จำกัด และมีข้อมูลระบุว่าควรหลีกเลี่ยงการใช้ยานี้ในสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lansoprazole. Available from: http://www.e-lactancia.org/producto/904.                                                           2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ranitidine,ใช้สำหรับยับยั้งการหลั่งกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Ranitidine ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Ranitidine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Ranitidine. Available from: http://www.e-lactancia.org/producto/1319.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Famotidine,ใช้สำหรับยับยั้งการหลั่งกรดในกระเพาะอาหาร,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Famotidine ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Famotidine มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Famotidine. Available from: http://www.e-lactancia.org/producto/629.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Sucralfate,ใช้สำหรับรักษาและป้องกันการเกิดแผลในกระเพาะอาหารและลำไส้เล็ก,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Sucralfate ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Sucralfate มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Sucralfate. Available from: http://www.e-lactancia.org/producto/1411.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Oral rehydration salt formulations,ใช้สำหรับดื่มทดแทนน้ำในร่างกายที่เสียไป เพราะอาการท้องร่วง หรืออาเจียนมาก,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Oral rehydration salt formulations. Available from: http://www.e-lactancia.org/producto/1404.
Loperamide,ใช้สำหรับบรรเทาอาการท้องเสีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Loperamide ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Loperamide มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Loperamide. Available from: http://www.e-lactancia.org/producto/949.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Bisacodyl,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Bisacodyl ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Bisacodyl มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Bisacodyl. Available from: http://www.e-lactancia.org/producto/189.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Castor Oil,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงสูง,ควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Castor Oil เนื่องจากมีข้อมูลการใช้ยา Castor Oil จำกัด และมีข้อมูลระบุว่าควรหลีกเลี่ยงการใช้ยานี้ในสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Castor Oil. Available from: http://www.e-lactancia.org/producto/1337.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Isphagula,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Isphagula. Available from: http://www.e-lactancia.org/producto/874.
Senna,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Senna. Available from: http://www.e-lactancia.org/producto/1377.
Magnesium Hydroxide,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Magnesium Hydroxide. Available from: http://www.e-lactancia.org/producto/972.
Magnesium Sulfate,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Magnesium Sulfate. Available from: http://www.e-lactancia.org/producto/973.
Lactulose,ใช้สำหรับบรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Lactulose ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Lactulose มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/898.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
BELARA (Ethinylestradiol + Chlormadinone acetate),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1728                                                        2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
B-LADY (Cyproterone acetate + Ethinylestradiol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
CERAZETTE (Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำมาก,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/457                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
CHARIVA (Ethinylestradiol + Chlormadinone acetate),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1728                                                        2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
CILEST (Ethinylestradiol + Norgestimate),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
CLEO (Ethinylestradiol + Levonorgestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/1725                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
DAFNE 35  (Cyproterone acetate + Ethinylestradiol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
DAILYTON (Lynestrenol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
EXLUTON (Lynestrenol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
FEMINE 30 (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                            2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
GOVANA ED (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
GYNERA (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
GYNERA ED (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
LINDYNETTE (Ethinylestradiol + Gestodene),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MADONNA  (Levonorgestrel),ใช้สำหรับคุมกำเนิด,Very low risk,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/927                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MANOANE (Cyproterone acetate + Ethinylestradiol),ใช้สำหรับคุมกำเนิด,ไม่พบข้อมูล,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MARVELON 21 (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
MARVELON 28 (Ethinylestradiol + Desogestrel),ใช้สำหรับคุมกำเนิด,ความเสี่ยงต่ำ,มีข้อมูลว่าควรหลีกเลี่ยงการใช้ยาใน 6 สัปดาห์แรกหลังคลอดบุตร ควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้ยา หรือใช้การคุมกำเนิดด้วยวิธีอื่นแทน,"1. Breastfeeding Association for Promotion and Cultural and Research of. Lactulose. Available from: http://www.e-lactancia.org/producto/609                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. "
